repo,reponame,commit_hash
alengwenus/ha-sma-ev-charger,ha-sma-ev-charger,4ccdbca95bd345cfcb2d36b1ba4038122605975b
IBM/oper8,oper8,b572a595ffbb3b12591339d035408759200dad93
Kuba314/arcparse,arcparse,e4b5340624f22ce650f924c1bc120c48adcc9fc1
longzw1997/Open-GroundingDino,Open-GroundingDino,924bb6c4b93cae2dae582e1afaeccd408c72a31d
lkeab/gaussian-grouping,gaussian-grouping,0ab60afed3385b717c985af1d30a20f7b0884c89
instadeepai/flashbax,flashbax,0e004a98c4fc6012cc5f0d243bb2289dedc80755
hyperspy/exspy,exspy,92ef4ac1cd6897020dba2e6a8fa7d16844b2e769
Zitronenjoghurt/Colonaut,Colonaut,1aad2916f5b54c680153b0b18770ab1192bdef1e
SpectacularAI/point-cloud-tools,point-cloud-tools,cb5deff6ca114aeb8ea9b5edaf56d33796a62e59
upfusion3d/upfusion,upfusion,3412d05a19fb229b7fe9655d84e09f035548ed06
loliverhennigh/PhantomGaze,PhantomGaze,ced579dfef2e6055d59ce88e1333df50ccfacf05
openfoodfacts/open-prices,open-prices,8de6cb2abcc5a101af4e726f30963fb5d2fa0723
Aues6uen11Z/Zafkiel,Zafkiel,347c19941dc2bb3ff622f02ce0c8e7e7d3e4d583
ict-bigdatalab/RIGHT,RIGHT,ecbf1ceafd12beb22b9b3c118b4c6139aa6603ff
vita-epfl/social-transmotion,social-transmotion,2aa4271277b3d9cbab9a2a1733e0295cadc01fbc
explosion/prodigy-hf,prodigy-hf,cef6257d29f43282942ade8998592e59379bc317
kampta/asic,asic,7124b93b53280dc9da72807605e50338b50b2895
fzmi/ubdd,ubdd,4c0d638cdddaed9bc75c163a3fea35c3103f869b
isLinXu/onnx-explorer,onnx-explorer,82171e0aac263f103393c5eb6179aaf9d8b20169
CVHub520/yolov5_obb,yolov5_obb,d86f0c0a60a157a37049b3451914c48d955cbb2e
deepsearch-ai/deepsearch,deepsearch,916cd4563eda96ffeb729811927ec43e688ea67d
modelscope/richdreamer,richdreamer,e467759982880c90f385618243369eb1a251dd9a
ForceFledgling/proxyhub,proxyhub,688049b3e2408e447e34fe4f89d73179a67e64bb
firstof9/ha-gasbuddy,ha-gasbuddy,486e2ffa3f35879766a0e59736a232a38bfdec95
carlhampuswall/smartknob_ha,smartknob_ha,f550a43dd19d8d99d0f4b842edbcbeee215f3661
rehg-lab/RAVE,RAVE,c836b194549dc0cdc8dfedea056ebfab5bd9d8c6
deforum-studio/deforum,deforum,f95533c84e997474e66b86ce867098f5f6d7ba44
akekic/causal-component-analysis,causal-component-analysis,fe08e07661d86d9c4e60ff94646211ab6faecd0d
krasnoukhov/homeassistant-smart-maic,homeassistant-smart-maic,a34d05e9f112106a085e446f5008a2c717a56298
ottuco/multi-api-mocker,multi-api-mocker,e4349cc8eb366e3095104f5be588e3eb7b7f001d
atineoSE/SecretSanta,SecretSanta,07d4d2cf88158f4e126667945cc420c77acb40fd
fofr/cog-sdxl-turbo-multi-controlnet-lora,cog-sdxl-turbo-multi-controlnet-lora,a15abe5245b532280b9f8d8ceb595eac02bcb3ad
LambdaLabsML/newsy,newsy,c86b1e8efc23a0beef8b2e702ca1e4bd60c308f9
Rajeshwaran2001/DRM-Media-Tool,DRM-Media-Tool,eb1852cd3847e695a544f65b1acdaf72e806dbb8
16lemoing/dot,dot,8c6ef1e1521eff9df8c7030f10adc57a4cddee13
zabbix/python-zabbix-utils,python-zabbix-utils,cb498e80cf5a1fc8ebf03b18bc38033a46f822a1
moonshot-admin/moonshot,moonshot,41b53f9cbbdd0150537fdea83354186a6f439bdf
IIMunchII/restllm,restllm,42d0385281f1d944874e8be9930a3bf8f071a976
socius-org/RedditHarbor,RedditHarbor,84ec437f779a7549655fe332d9a95407b0b15d54
Eclectic-Sheep/sheeprlhf,sheeprlhf,efa765089c3cce1e40c5f9a39fa7d43e002738b6
maxin-cn/Latte,Latte,f8980c5a2bc60b5aff4a5ed9a40c993b3b2e2e0c
ErdemOzgen/DevSecOpsBuilder,DevSecOpsBuilder,f2f44d2f09dbf4f50ba4f2b0375e361c915c38f9
avataar/bg_electricity_regulated_pricing,bg_electricity_regulated_pricing,b0d6e03c1fe22eb53ca0ad02d9078cd833cd2523
yixinNB/pyscrcpy,pyscrcpy,0554c67bd7301895c9bd558ab8e82ccf126e0cc6
gpavanb1/NODEFit,NODEFit,ac53220d5229db31cc3310a1239b38d19c824349
shrimo/SLAMBox,SLAMBox,485db931513968a102d7bbe40b8c3277b0623c5f
AlexandrErohin/home-assistant-tplink-router,home-assistant-tplink-router,0082b8dfec5c52e4ddeb4687d65deb1346339800
Viicos/django-autotyping,django-autotyping,9a53a5034e78b589c1f118f27bed56dca8e30714
KosinskiLab/pyTME,pyTME,4c3a699729fdecfda6be736c32b546ed3d3d2a64
intuit-ai-research/DCR-consistency,DCR-consistency,14e71c12f666230b5cc65e7af9d05bc6ec6087f4
amtoaer/bili-sync,bili-sync,f52724b97462312f8c2fc1a91b63313430cbcbb5
timapage/pyqt6-yolov8,pyqt6-yolov8,ecffce46575f6f23766f60f925fe44de7a1a5710
hookla/DreamTeamGPT,DreamTeamGPT,d4b65cc6fb9b325b3441d784ecb79d5b9327698b
bittranslateio/bittranslate,bittranslate,5bd25f8413a1bc82225917db5cddc58d18fe3ac2
guwwl123/xet,xet,77cc9217d28a3cdee96fc2ecc9dadda83b498bb5
Uli-Z/autoPDFtagger,autoPDFtagger,887c03b71c9ef7c08042ebcd80cb715cc59bb8b3
JiahuiLei/NAP,NAP,1b062cb17986073c2e14839eb453a816236c1d13
8none1/idealLED,idealLED,2ac5a08d644cd7223834076dc2acbb142782f6d2
ehennenfent/live_illustrate,live_illustrate,653f53c0340b3a45f558f228dd4d23a0e85ce4b2
pytest-visual/pytest-visual,pytest-visual,429e2f8ae8c795b289dcb34e3daccf2ab2838b55
OSU-NLP-Group/SeeAct,SeeAct,2434627b196b33d1b0668a418188dd2f348883bb
jiawei-ren/dreamgaussian4d,dreamgaussian4d,bc229beeda74fcadee167a53b4683b1d7662def3
hmmbug/pythaidate,pythaidate,f526c4d9d9ee2a854bf790aaf6d6ee6db90f3f25
EnVision-Research/Defect_Spectrum,Defect_Spectrum,1f0803a294629392a6051ed0e1b4fecf1e2ce47c
serpatsama/Pythox,Pythox,79096d287b8b9cfd6928ea7286c96b617026e609
Zerohertz/Streamlit-Quant,Streamlit-Quant,653ccb456aa4d9d2306b6a6ca1ba49ea1a308951
penghao-wu/vstar,vstar,4ede6647959cfb59eeabd09286adf6a5f9478da0
mjavadpur/Sadtalker_LongVideos,Sadtalker_LongVideos,ef7e3a7c7cd2de55383dc95105c985f44ad6efec
ctreude/SoftwareImpactHackathon2023_BiDirectional,SoftwareImpactHackathon2023_BiDirectional,306a3cc8365db6154e3a1be9ce96de9a2a67b554
linyiLYi/voice-assistant,voice-assistant,1f16259f030c519cfef8e22ba098c35832ae53b2
aniketmaurya/fastserve,fastserve,7e63b57865353ef8e1b450cc6a55cfd51d6db467
boweniac/autogan,autogan,f672a93f9eadc8004d79ff1e894e7e72d75a4f18
tommy-xq/SA2VP,SA2VP,35674e745809ad6aa05b4e63f3d422ba7149f817
LeapLabTHU/FamO2O,FamO2O,ea9cb01c86ca7d8cbd782b21cab5d7e1614bc6d7
oppo-us-research/SpacetimeGaussians,SpacetimeGaussians,2fd7bbeb7472bc8744b24ef3079026bd2f4247f6
wenquanlu/HandRefiner,HandRefiner,f07e196298bafe871064b2952587548e28ccd467
codyc1515/ha-yeelock,ha-yeelock,95da56f035702b297061a24be639ed2b365607b4
hao-ai-lab/LookaheadDecoding,LookaheadDecoding,08fb2d8feec1798ec343204c20dde2b782ee8951
Anonoei/klipper_auto_speed,klipper_auto_speed,63315317c465edc135e4712e4327de5b8b852082
daswer123/rvc-python,rvc-python,cff3ffbe99ce2e062831e4377f8cef587d0f38f9
wangermeng2021/llm-webui,llm-webui,b72ba3261cd92e0f70b51dbf0e845a567acf3159
tb2-sy/TSP-Transformer,TSP-Transformer,9479b495af398b4d7160f4e9255e29fd9097605c
Meituan-AutoML/MobileVLM,MobileVLM,688fdec914810485c8766da96c63d9d2ce15f750
Aggify/aggify,aggify,1748e9875010cb0e5c2f89eebb8a5e8d83d162c5
z80dev/vscode-vyper-lsp-extension,vscode-vyper-lsp-extension,8a70c9c398975385634a494f6dc19179fdd14af4
tmlr-group/DeepInception,DeepInception,fc5689e76c4dd87a14babf1eadf890532f2b6880
grainseed/monitask,monitask,c2710cb9da989cd5186dba7ea6d59df4bab78f9a
serl-robot/serl,serl,7b861a8bbdde325208da7f0eed8e6eb0f894cb6c
sidharthrajaram/StyleTTS2,StyleTTS2,cf48b82718c38ad872cd3c7189714fe93928ca5f
ZhangLin-PKU/FedFTG,FedFTG,1e6347c1c0f320a940b6e9f9ed8fe4b73c3e13a7
snap-stanford/relbench,relbench,6bcb12a94b163c52e01cc272dfd4817cd13eff69
tiendatnguyen-vision/Orbit-symmetrize,Orbit-symmetrize,8e67e54ce1113f4be93375d5b945ca9070325b39
giu-guarino/PCA-Z-PNN,PCA-Z-PNN,c7d915ed9f897399ad016f3da3d8467d41b2fc77
MichealCodez/awesome-project-ideas,awesome-project-ideas,3494758e4806be34915accfc19ca58430ea62e29
TE-Academy/cadCAD-GPT,cadCAD-GPT,001df653d41dbcca570b0f0a159f8fb5e2f3078f
qase-tms/shelterpaws,shelterpaws,cc35171767523abbd77840e90aa5732cf8564491
s1tools/s1-etad,s1-etad,07e2596a9ea919e4dc687ade867a19def30e0cfc
AnonymGiant/ViLaM,ViLaM,29d98d0bd11407613fbe3e3b5a3f96ef7bee3037
QutacQuantum/qugen,qugen,68fda95ae2f49d4c68687556bcbd34cb39c03fbc
jutanke/hik,hik,7feadcda026dc1329acaa6035a6399fcd0328a27
krulllab/DVLAE,DVLAE,2d65307161d1f1a76a68974ace9395c4f8c8e0f0
warner-benjamin/optimi,optimi,a12a3555597fb286bd28815b4534083e4fe6e4fb
ise-uiuc/magicoder,magicoder,3ef43f0feaa2a48c3bb86d0b1f0d4482912d2e18
xuuHuang/IMTLab,IMTLab,84b5888e48b0a8e15baac701c8f53d4bf00f4521
apple/ml-reed,ml-reed,aa72b7425536c863a78e41dd401e5b36bdedaaeb
embrake/Aquilify,Aquilify,05501529f2fe97a42cc2b920cee15481301f3237
eblume/TyperAssistant,TyperAssistant,385b7810c41e9250c4067754bd7342c2a22012bd
catid/aiwebcam2,aiwebcam2,4c530cb6a581bf7f3bc73b87c0303ec00e0c5ed1
mpenning/ciscoconfparse2,ciscoconfparse2,5edfe4df86dfb171d245e2fe80a5ee4b5917e49b
Hammour-steak/GOUB,GOUB,4724d1f573bc812c9e6d13f3a929014ce43ee909
bobby-he/simplified_transformers,simplified_transformers,8d4ea7965f61c61259123a37ff06cdef636845c0
brevia-ai/brevia,brevia,448593fa5ae0d4e3a1dd911d5d476d1d9d35ad21
tatsu-lab/gpt_paper_assistant,gpt_paper_assistant,5fbf2459ef6b95ea0da0baf5ec6a4083f15bcc5d
zhyever/PatchFusion,PatchFusion,6c4c1a3ad7c56f9a635c0d09e6053e99546f0a54
mitre/arlin,arlin,1ca7ffab664fb80dc0b0ea40cbec4851041d8822
theOneAndOnlyOne/BeReel,BeReel,38dc52a638e809f92149f9d0016b8dd6cbe8053d
som-shahlab/INSPECT_public,INSPECT_public,3063605a7ac3c0add4cdb3e94139422b512fbf05
TimeEnjoyed/TimeBot,TimeBot,1b8cbba8c2c22b1a151a8cb7df7a3d1b1a66b8b7
AMAAI-Lab/Video2Music,Video2Music,0ba435602c42308da3da1de1b74c8ea599fa5472
llegomark/gemini-pro-chat,gemini-pro-chat,5271f146841c0ec7749f268ea6b2ec680fc72f29
microsoft/Project-BayesDAG,Project-BayesDAG,2a8835c47006d46df382a214afb8837704169f11
xingchenshanyao/YOLOP-E,YOLOP-E,6cba9484217cd8483712205a7d9b2ba3aabb60c7
Samuel-Effiong/Django-Dynamic-Table,Django-Dynamic-Table,4c2affce8a7bd20f08486da8ddab8b0591d05fb3
DeepGraphLearning/ULTRA,ULTRA,427966ad8ed60420eef034063d44f3153addff90
BAAI-DCAI/Training-Data-Synthesis,Training-Data-Synthesis,3be248a128eba6e20787bd757f1d15a0fb35c3e3
mauriciobraz/fastapi-starterkit,fastapi-starterkit,37ae15113d78f17ec17870892e36b3993bb8b99e
Inflectra/spira-jira-migration-advanced,spira-jira-migration-advanced,473b6f1b236612b536ed4950f43f2b40f975514a
nv-tlabs/pacer,pacer,baeb6241f03fc9d78370a64e3c2dcef9d830d97f
karloskar/homeassistant-goecontroller-mqtt,homeassistant-goecontroller-mqtt,5086bc565cfbd4b841f3c1093476c9fdf3f029f0
UMass-Foundation-Model/CoVLM,CoVLM,e8237a34069942cba45226a43c3e44195d92065b
latorc/Wechat-AI-Assistant,Wechat-AI-Assistant,0379e125d48e4c59fbdf4e854baf6f54bedce3e9
matteyeux/binjahub,binjahub,dc0630ab72b627d5f0a904a56061893dc345aca2
NUCCASJNR/PaystackPyAPI,PaystackPyAPI,918ea9ff864d38003ffe0ada515d62e7f5b75e0f
GaoShuang98/DINO-Mix,DINO-Mix,98ce73738d005782f2f8278edc6e69d41929c592
AILab-CVC/GroupMixFormer,GroupMixFormer,3d3f40977c6aa9f5d9eb3d6ffb53cc9c648cf7b2
javrtg/C2P,C2P,8b0844693dd99e8e5847d02826fa7fe33c97c8bd
felixcheng97/AGAP,AGAP,98428c12b316b118d77ec45a51f1b71bcd311d82
RustSpark/aiodog,aiodog,24a1f209d560a4f5eab061472a50466a26931133
vorausrobotik/voraus-ad-dataset,voraus-ad-dataset,a91a86a642d23df58833b792a53de01edfd81abe
WeiLab-Biology/DeepProSite,DeepProSite,b6f6a8aec5128324655e7b638aa0122297a95220
victor0089/AirBnB_clone_v2,AirBnB_clone_v2,e9840d200ab6f81448154fb5fe0b433f84b773dc
JunityZhan/CharaCraft-AI,CharaCraft-AI,5aca96884edbead58fa0067571fd9eab9f4c3574
hxz393/ConfigCenterComparer,ConfigCenterComparer,b74e746567de90836d567a123b86266181586eb7
qym7/SparseDiff,SparseDiff,0cbb27a496554781274f131663291b4474da3482
spla-tam/SplaTAM,SplaTAM,da6bbcd24c248dc884ac7f49d62e91b841b26ccc
hutaiHang/Faster-Diffusion,Faster-Diffusion,6e2edd1e1310aab07b6f13de21fac7cb951ce50f
iamlooper/VIC-TG-Bot,VIC-TG-Bot,3ce6910e1f1545c041c44b366ee6f8467f327f27
Dinghow/UIM,UIM,dc7eab654a4f731de05966f7fa1b7fd53ef5b5b2
OpenGVLab/PonderV2,PonderV2,772fe3a0dad37e0cb9f604bedb996c799ccd688e
RF-Tar-Railt/satori-python,satori-python,8d58d56496869e2091b2fba0df3b498bd5870f83
THUKElab/CLEME,CLEME,5fc7617ef36c2134ae217f449e2a927e41f77039
jwebmeister/tacspeak,tacspeak,95443b879f925c057f2e6856dce9c927bc30778e
Nightmare-n/UniPAD,UniPAD,3d24add15f887a4c5b7b54cb3a6b4a812c24ca52
leeyuentuen/polestar_api,polestar_api,bb59db63ded606e31a52291012180f1204d02c07
xiaoye0x0/pfgo_tg_bot,pfgo_tg_bot,62c23c038cf3dc1367a6ed67382300352a30afaa
davidhozic/TkClassWizard,TkClassWizard,6b0bd2b90357a88c57a7d0fb28fcd3feb4ac9d6f
Ruiyuan-Zhang/CCS,CCS,bf286c93e758bcc5ac2b5a782944d267f89a5e4b
UT-Austin-RPL/amago,amago,12c0c9c67f15ec05f63b747a6164ca632f5a5ffb
PufferAI/pokegym,pokegym,9050f7ae43e21b9337ac5ae407d37e6eb34ca03f
pgorecki/lato,lato,689e4755dfcb4e00a3590a2539c0c63b6965fa9a
NVIDIA/GenerativeAIExamples,GenerativeAIExamples,a39128d0b22e1b7c0949d3dbffbb4682e52fe589
hyukkyukang/DBSherlock,DBSherlock,75e40b722e3ff99dddf9ff8a5f18d732cea0fc80
andreafailla/pix2beats,pix2beats,efb0a66cad8ede1d2a04ee0ed9b549bef16e3f77
neu-spiral/multi-label-emg,multi-label-emg,f715d709a1c9ea766e4563fdb34d82a59f613699
winniesi/tg-gemini-bot,tg-gemini-bot,9bd8117de5214c5360e39ff3db18e502888877ba
pofey/MemAI-Flow,MemAI-Flow,4f4a0bc202902e5ec8a9b13b9d2d1be88d22fe09
wallneradam/esorm,esorm,3c6165a822e772964fa2838f24606aed963c3c8b
HRI-EU/rosenv,rosenv,16e3b24d76a99085c4d76a83fc1b3b9a3961d1d3
giaminhgist/3D-DAM,3D-DAM,ee6841f6d3ce5eb68e511d233f29c6bcbe93272e
tonnetonne814/PL-Bert-VITS2,PL-Bert-VITS2,a14feb38af363bf6e3c0797a0c9cb7e79557a1e7
nik-sm/com-hom-emg,com-hom-emg,a231947d0c2e16742e8e418943e102a88f02e530
camenduru/MiniGPT-v2-hf,MiniGPT-v2-hf,4120bef6c061074003b938f0c397ee297c23e4e1
kudelskisecurity/fuzzomatic,fuzzomatic,d6870ca74e473e0468de5c0c1d719730c523749d
GaryGuTC/COMG_model,COMG_model,ffb22688c1f20c2d658b3317c2bbde8f2796d651
hubo0417/EasyGC,EasyGC,bf472be897344d72294b965c47f23b9ccc3b9861
BobaZooba/xllm,xllm,8c3580faab6f3d7de0e9739a6f379d7b672e76be
DAMO-NLP-SG/RemeMo,RemeMo,2d351a9501e4f7b257d10167137c38969009a707
muexxl/batcontrol,batcontrol,bef802e9acfff3c4300ea245ef917264274d807c
liuhuang31/hifigan-sr,hifigan-sr,e57e090986b45ef52648df2189b15bfe19082453
zhang-tao-whu/DVIS_Plus,DVIS_Plus,c0eb2495d595937538139dab6081dc790c0a6fe3
togethercomputer/stripedhyena,stripedhyena,7e13f618027fea9625be1f2d2d94f9a361f6bd02
CryptoFuzzPy/cryptofuzz,cryptofuzz,7f197cf2b233220d428be07a78209188cc8a28f7
JakeMartin-ICL/ha-monzo,ha-monzo,05910caf309506fbacd457ad4f63cf3b4ec9a2c5
Deeptrain-Community/chatnio-api-python,chatnio-api-python,14cf9225df9483c8b98701995d8f6bd95758b3e7
LLaVA-VL/LLaVA-Plus-Codebase,LLaVA-Plus-Codebase,a9f9d6fd249f03d6c5889cea6f6ae0eb75b8e917
t-ega/whatsapp-cloud-sdk,whatsapp-cloud-sdk,7efabb79b09bc12fadc6fa299084e75b053a6cfd
gsamil/text-classification,text-classification,a943a72d072d0e391a1d36d502c6d5fadf993e75
m-abr/FCPCodebase,FCPCodebase,325e3cab002a17c5a1dbd2caf19eb2f4d31f7853
OpenProteinAI/PoET,PoET,9b2239be84ee39691ec6ad4184925156f2ac332f
Czj1997-02/SeamlessM4TApp,SeamlessM4TApp,c7333ea82d4d7bd682c5e8a322605af08ee45158
exists-forall/striped_attention,striped_attention,0c3ef0f02541f7004c6cfb51ad305e92f1e01d29
juniberry/PacketIRC,PacketIRC,94d9c4994f866b7cfda67a5e04cd5784055b9784
balazsborsos/dae_postprocessing,dae_postprocessing,fa2a06f389bd865174df8300356eb414e202848c
solanav/phishflood,phishflood,75c7b5a2467e729d5e2e2cdf7464d633ff0d93bb
fg320/DEASC,DEASC,e3db9c439b6e4da22f69621e5a3f7f2e464a7f4f
Seunggu0305/VLCounter,VLCounter,6321e06363c701528dab4d934c77728920da5f10
KevinXu02/ControlledDreamGaussian,ControlledDreamGaussian,d277aac6e97e621d93a8fd400088126f90ecf466
pytorch-labs/gpt-fast,gpt-fast,7dd5661e2adf2edd6a1042a2732dcd3a94064ad8
edsu/marctable,marctable,3667ca63d8d3e30e57d461aa52e78dd65e6b969c
apple/ml-nvas3d,ml-nvas3d,6c2d91f4a20b8caae04166df734b83c54bf22920
RobotLocomotion/gcs-science-robotics,gcs-science-robotics,3d781488136362c700b22db640b0a47806e3e38b
52phm/pylmkit,pylmkit,0dbe1481f625596d55680bd12354e7a1908ac5df
uukuguy/multi_loras,multi_loras,d6ec050f1a2da28f3c5e3fbbb1622dcd6ea68785
RapidAI/TableStructureRec,TableStructureRec,186182628b055f7e7d88a280e6a79b66776b6f86
NExT-ChatV/NExT-Chat,NExT-Chat,1e6c20f7e88feea44985e6dacbddc3c4d5701e3e
meryemsakin/WhatsAppGPT,WhatsAppGPT,493e82b02d536ab034b05cb6384a1059781659d7
justchenhao/SILI_CD,SILI_CD,6ee38782639ac44495a777588f6171d571af0af9
tonnetonne814/MB-iSTFT-BERT-VITS2-44100-Ja,MB-iSTFT-BERT-VITS2-44100-Ja,c4069cbb966a2d7d2a73cfc2dde37acc679681a1
shengliu66/ICV,ICV,b187c6387ae41097f5e38182d5a8df7d06ca9ec4
Poppy-xiao/satori_to_onebot,satori_to_onebot,87a53ebfbf10b9d3478364a97453443c8c4e197d
mjunaidca/travel-ai-service,travel-ai-service,e1fd24d512d8c9514ff38f58d7ac27c6e1f23cbb
HanHuCAS/SurgNet,SurgNet,233c605b9823689ef1fdb30a69fc5d78f20ea23e
Luo-Z13/pointobb,pointobb,e9d02645d91557ac83f86de8d36ab0981185d5ac
Opt-Mucca/PySCIPOpt-ML,PySCIPOpt-ML,c792522bcaf5ec3e7cfa052e010640b15058918f
facebookresearch/PurpleLlama,PurpleLlama,23156b70efb596831c02c6461fc42da1f75988ec
pedramhaqiqi/LANPONG,LANPONG,407f9359ee665a78836ae42f7126ffc8850b36ec
Eanya-Tonic/MihiroToolbox,MihiroToolbox,edf2443e4b3561a3eb9f98c2092a60c225ebb367
Rubics-Xuan/Med-DANet,Med-DANet,046dc4212d894d25fbf1623a92a9d723f1780c5e
fleet-ai/code-pilot,code-pilot,f55144f69f6c364431e1a76a7de9890962175c13
yanzq95/SGNet,SGNet,a0935c1d0176f8240fed2619e1247de418f082a8
aymenfurter/microagents,microagents,5d52c807de0a607440dc52d1c71e789ca4132441
pbelcak/UltraFastBERT,UltraFastBERT,295c7b66f91fff294ec3916207afb55853e83cbf
John-WL/sd-webui-inpaint-difference,sd-webui-inpaint-difference,656eed0a214186f4fb12fd6100fef582a01558bf
DiffusionLight/DiffusionLight,DiffusionLight,7130ec43739d6c9fe1e70cf5f0389b8f72f5ddbc
banodoco/Steerable-Motion,Steerable-Motion,b95e9eed09741bd3f0fc3933ab45d09f6f055aae
Relaxed-System-Lab/HexGen,HexGen,949414d1be18e504752508c0559cb966ddf999f4
HeliosZhao/Animate124,Animate124,d5469414eefb21525209374b4915ebf1e951ca4f
DAMO-NLP-SG/CLEX,CLEX,023709d923ea9492ba82a6e8341d8c02f77e34e8
yobibyte/compressor,compressor,16dbc00a7fd1d3098f3f56c35e203e86dea0523e
abersheeran/zibai,zibai,c0bb54f3dbfcd4d434ad7ef6bc55b2ffec17ad48
PeriniM/Rotary-Pendulum-RL,Rotary-Pendulum-RL,63965e3eaa159188f3b5bb4f88e5b9d50649b564
ggozad/oterm,oterm,ed95ebd9b02b249a5844540b8f708b15c79c7033
duxiaodan/intrinsic-lora,intrinsic-lora,a48381b5891d372096aa4fd46147cf7026811481
dakpinaroglu/Frame2seq,Frame2seq,a0789e69139541bf56f3a40080826a3d1a540ca7
CuriseJia/FreeStyleRet,FreeStyleRet,c7cf1b1acba6bc2e5d301185050c0cf1a6ce8dba
naver-ai/scob,scob,81d42d82af24a203f38137ba092c483d07db2a64
WHU-USI3DV/PatchAugNet,PatchAugNet,9bc4530c121d830d675c340439d16772e03375da
AVAniketh0905/fluidspy,fluidspy,206dc612ad1dcb98457979e80be527d015fa2d51
open-compass/MixtralKit,MixtralKit,d4da9e0515cc44b1bdb847a75786f0f6720d198a
OllieBoyne/FOUND,FOUND,0b3d35661ca5ff5f4d34a803d133acd085a3adaa
deepseek-ai/DreamCraft3D,DreamCraft3D,644dca4411b8c59a722366525d714472abe29dad
ELHARAKA/SnipeGenius,SnipeGenius,abd5c518f8f7004cf02e8306aabcf711b98efeef
TimbreWatermarking/TimbreWatermarking,TimbreWatermarking,c41e7d75637f162d462ef2159acc5149b6c8071a
IanYeung/MGLD-VSR,MGLD-VSR,9aa77315e8227ff1f9d54d0f64bc05335b7bb219
daveredrum/SceneTex,SceneTex,ff425f2d2e1c7831f3b89a004537d1bf2e8d6001
7Wate/EndOfYear,EndOfYear,c621228996bcf7e5d90a624ee0ed559c2e0f8d73
